movie,genre,plot
Lucky Man,"['Action', ' Crime', ' Drama']",From the mind of comic book legend Stan Lee comes a bold new action crime series about a brilliant but flawed police officer with the power to control luck.
Little Shop of Horrors,"['Comedy', ' Horror', ' Musical']",An exotic plant in a downtown flower shop convinces the storekeeper's meek apprentice to resort to gruesome measures to keep it alive and make it grow.
Until the End of the World,"['Action', ' Drama', ' Sci-Fi']","In 1999, Claire's life is forever changed after she survives a car crash. She rescues Sam and starts traveling around the world with him. Writer Eugene follows them and writes their story, as a way of recording dreams is being invented."
R.L. Stine's the Haunting Hour,"['Action', ' Adventure', ' Comedy']","R.L. Stine leads young viewers on a creepy tour of tales featuring life-sized dolls, werewolves, and carnival clowns that are stalking children."
Impulse,"['Action', ' Drama', ' Sci-Fi']",A young woman discovers she has the extraordinary power of teleportation.
Halo: The Fall of Reach,"['Animation', ' Action', ' Adventure']","Animated series adapted from the original book, Halo: The Fall of Reach. It's an explanation and backstory of the shaping and creation of Spartan 117, The Master Chief."
Biohackers,"['Drama', ' Sci-Fi', ' Thriller']",A fast-paced thriller following medical student Mia Akerlund who discovers the use of highly advanced biohacking technology in her university town.
Escape from the Planet of the Apes,"['Action', ' Sci-Fi']","The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society, but one man believes them to be a threat to the human race."
Ergo Proxy,"['Animation', ' Action', ' Adventure']","In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life."
ARQ,"['Action', ' Sci-Fi', ' Thriller']","Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity."
Pokémon: The First Movie,"['Animation', ' Action', ' Adventure']","Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous."
Hostile,"['Drama', ' Horror', ' Sci-Fi']","Juliette, a lone survivor of an apocalyptic era, fights to survive against hunger, thirst, a broken leg and strange, disturbing creatures that only come out at nighttime."
"The Adventures of Jimmy Neutron, Boy Genius","['Animation', ' Adventure', ' Comedy']","A young boy, who happens to be a genius, lives in a small town with his family and friends and often gets into crazy adventures with them involving the things he invents."
Day of the Dead,"['Action', ' Drama', ' Horror']",Six strangers trying to survive the first 24 hours of an undead invasion.
Creeped Out,"['Drama', ' Family', ' Fantasy']","Creeped Out is a series of spellbinding, enchanting, intriguing tales. Each episode is a different story set in a different place and time, with different characters exploring their way through the unexplained."
The Rage: Carrie 2,"['Drama', ' Horror', ' Sci-Fi']","A horrible massacre strikes up after an outcast teenage girl is taunted by a group of high school jocks, all of them unaware of her cutthroat telekinetic powers."
Nal Nokyeojuo,"['Comedy', ' Drama', ' Mystery']",This Is a sci-fi romantic comedy. The story tells about a man and a woman who participated in a 24-hour human freezing experiment. Due to a mysterious scheme the pair wake up 20 years later.
Wicked City,"['Animation', ' Action', ' Fantasy']","Two agents, a male human and a female demon, attempt to protect a signatory to a peace treaty ceremony between the human world and the demon world from radicalized demons."
Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,"['Adventure', ' Comedy', ' Mystery']","Kimmy sets off on her biggest adventure yet. Three states. Explosions. A dancing hamburger. And you, the viewer, get to decide how the story goes."
The Hunger,"['Drama', ' Fantasy', ' Horror']","Erotic horror anthology series where the hosts Terence Stamp (in season 1) and David Bowie (in season 2) eccentrically introduce each of the steamy, erotic and often supernatural tales of power, sex, lust, and driving urges."
Phil of the Future,"['Adventure', ' Comedy', ' Family']","A family from 2121 is stuck in 2004, trying desperately to fit in."
Seraph of the End,"['Animation', ' Action', ' Adventure']","In 2012, the world allegedly comes to an end at the hands of a human-made virus, ravaging the global populace and leaving only children untouched. It is at this time that vampires emerge from the recesses of the earth."
Cherry 2000,"['Action', ' Adventure', ' Comedy']","In 2017, a successful businessman travels to the ends of the earth to find that the perfect woman is always under his nose. He hires a sexy renegade tracker to find an exact duplicate of his android wife."
Final Fantasy: The Spirits Within,"['Animation', ' Action', ' Adventure']",A scientist makes a last stand on Earth with the help of a ragtag team of soldiers against an invasion of alien phantoms.
2025: The World Enslaved by a Virus,"['Adventure', ' Sci-Fi']","We are in 2025: since the appearance of covid-19 in 2020, the world is no longer the same: a new system with a single world government has been put in place."
Clone High,"['Animation', ' Comedy', ' Sci-Fi']","The greatest minds of the world have been cloned, and are now attending high school together."
The Acolyte,"['Action', ' Adventure', ' Drama']",Star Wars series that take viewers into a galaxy of shadowy secrets and emerging dark-side powers in the final days of the High Republic era.
Tremors,"['Action', ' Adventure', ' Comedy']",Small town notices weird deaths in the desert. There are giant worms under the sand. They can hear the location of people through the vibration of their movement. Finally they blow them up with dynamite.
Time to Hunt,"['Action', ' Crime', ' Drama']","In the near future, a financial crisis will hit Korea and slums arise. From those areas, a group of young people commit crime to survive."
Jem and the Holograms,"['Adventure', ' Drama', ' Family']","As a small-town girl catapults from underground video sensation to global superstar, she and her three sisters begin a journey of discovering that some talents are too special to keep hidden."
The Time Tunnel,"['Action', ' Adventure', ' Sci-Fi']",Two scientists with a secret time travel project find themselves trapped in the time stream and appearing in notable periods of history.
Lost in Austen,"['Drama', ' Fantasy', ' Romance']","Amanda, an ardent Jane Austen fan, lives in present day London with her boyfriend Michael, until she finds she's swapped places with Austen's fictional creation Elizabeth Bennet."
Days Gone,"['Action', ' Adventure', ' Horror']","Two years after a devastating global pandemic, bounty hunter Deacon St. John faces a brutal struggle for survival, and a reason to live."
Metal Gear Solid V: The Phantom Pain,"['Action', ' Adventure', ' Drama']","After awakening from a nine year coma, Big Boss forms a new mercenary group called, Diamond Dogs, and teams up with his former rival, Ocelot, to track down the men responsible for the destruction of MSF."
Land of the Giants,['Sci-Fi'],"A spaceship from Earth crash-lands on an Earth-like planet on which everything, including the human-like inhabitants, is twelve times the size of its counterpart on Earth."
Screamers,"['Horror', ' Sci-Fi', ' Thriller']","A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience."
Light of My Life,"['Drama', ' Sci-Fi', ' Thriller']","Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested."
Parallel,"['Drama', ' Mystery', ' Sci-Fi']","A group of friends stumble upon a mirror that serves as a portal to a ""multiverse"", but soon discover that importing knowledge from the other side in order to better their lives brings increasingly dangerous consequences."
Blade: The Series,"['Action', ' Drama', ' Fantasy']",The adventures of the half human/vampire hunter.
How To Talk To Girls At Parties,"['Comedy', ' Music', ' Romance']",An alien touring the galaxy breaks away from her group and meets two young inhabitants of the most dangerous place in the universe: the London suburb of Croydon.
Class of Nuke 'Em High,"['Comedy', ' Horror', ' Sci-Fi']",The pupils at a high school next to a nuclear power plant start acting and looking strange after buying contaminated drugs from a plant worker.
Intergalactic,"['Drama', ' Sci-Fi']",It follows a crew of fierce female convicts who break free and go on the run.
Starflight: The Plane That Couldn't Land,"['Sci-Fi', ' Thriller']","On the maiden flight of the first hypersonic commercial plane which can make the flight from New York City to London in four hours, a minor disaster occurs resulting in the plane actually ...                See full summary »"
Mass Effect 2,"['Action', ' Adventure', ' Drama']","After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more."
Surface,"['Adventure', ' Drama', ' Mystery']","A marine biologist, an insurance salesman and a teen-aged boy find their lives fundamentally changed by the emergence of a new, and often dangerous, species of sea life, while government agents work to keep the affair under wraps."
Something in the Dirt,"['Comedy', ' Horror', ' Sci-Fi']","When neighbors John and Levi witness supernatural events in their Los Angeles apartment building, they realize documenting the paranormal could inject some fame and fortune into their ...                See full summary »"
Dragon Ball GT,"['Animation', ' Action', ' Adventure']","After Goku is made a kid again by the Black Star Dragon Balls, he goes on a journey to get back to his old self."
Duplicate,"['Drama', ' Sci-Fi']","Jonathan leaves the office every day at noon. When he gets home, he goes to sleep. Every morning he wakes up and there is a breakfast prepared for him along with a video telling him about the second part of his day."
Short Circuit 2,"['Comedy', ' Drama', ' Family']",Robot Johnny Five comes to the city and gets manipulated by criminals who want him for their own purposes.
Killers from Space,"['Horror', ' Mystery', ' Sci-Fi']",An atomic scientist claims he was abducted by aliens after being injured in a plane crash.
Fallout: New Vegas,"['Action', ' Adventure', ' Sci-Fi']","After surviving a bullet to the head, Courier Six traverses the post-apocalyptic Mojave desert in search of the men who wronged him, while making an impact on thousands in the process."
Category 7: The End of the World,"['Action', ' Adventure', ' Drama']","A deadly category 7 storm wreaks havoc on the world. Meanwhile, kidnappers threaten to make matters even worse."
Brainstorm,"['Sci-Fi', ' Thriller']","Researchers develop a system where they can jump into people's minds. But when people involved bring their personal problems into the equation, it becomes dangerous - perhaps deadly."
The Real Ghostbusters,"['Animation', ' Action', ' Comedy']",The continuing adventures of the staff of the ghost removal service.
Slugterra,"['Animation', ' Action', ' Adventure']","Eli Shane is determined to be the greatest Slugslinging hero of them all! Only by collecting, training and dueling with little critters called SLUGS can Eli and his team hope to defeat the ...                See full summary »"
Attack of the Killer Tomatoes!,"['Adventure', ' Comedy', ' Horror']",A group of scientists band together to save the world from mutated killer tomatoes.
Code 404,"['Action', ' Comedy', ' Crime']",A British detective killed in action is brought back to life using experimental Artificial Intelligence.
Planet Dune,"['Action', ' Adventure', ' Horror']",A crew on a mission to rescue a marooned base on a desert planet turns deadly when the crew finds themselves hunted and attacked by the planet's apex predators: giant sand worms.
Mortal Kombat 11,"['Action', ' Adventure', ' Fantasy']","When a time lord starts merging past with the present, versions of heroes from both Mortal Kombat timelines must unite to right past wrongs and save the world."
Upside Down,"['Drama', ' Fantasy', ' Romance']","Adam and Eden fell in love as teens despite the fact that they live on twinned worlds with gravities that pull in opposite directions. Ten years after a forced separation, Adam sets out on a dangerous quest to reconnect with his love."
Batman: Arkham Asylum,"['Action', ' Adventure', ' Crime']",You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.
They Cloned Tyrone,"['Comedy', ' Sci-Fi']",A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.
Memoirs of an Invisible Man,"['Comedy', ' Romance', ' Sci-Fi']","After a freak accident, a company executive turns completely invisible, goes on the run and becomes hunted by a treacherous CIA official, whilst trying to cope with his new reality."
DeepStar Six,"['Action', ' Horror', ' Sci-Fi']",A team of navy personnel stationed at a temporary base at the bottom of the ocean and tasked with setting up nuclear missiles discovers a huge underwater cavern which houses a giant prehistoric creature.
La valla,"['Drama', ' Sci-Fi']","In 2045, Spain like the rest of the western world has been driven into a dictatorial regime by the lack of natural resources. Life in the countryside is impossible, and in the city a fence divides peoples into the powerful, and the rest."
Mutant X,"['Action', ' Adventure', ' Drama']","A fugitive geneticist and four of his ""creations"" search for others of their kind while attempting to stay a step ahead of a morally ambiguous government agent."
Comet,"['Comedy', ' Drama', ' Romance']","Set in a parallel universe, Comet bounces back and forth over the course of an unlikely but perfectly paired couple's six-year relationship."
Star Wars: Rise of the Resistance,"['Short', ' Action', ' Adventure']","The Resistance needs your help. Hidden in the forest outside Black Spire Outpost, the Resistance is gathering recruits for a secret mission."
Body Snatchers,"['Horror', ' Sci-Fi']",A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.
The Breed,"['Action', ' Comedy', ' Horror']","A group of five college kids are forced to match wits with unwelcoming residents when they fly to a ""deserted"" island for a party weekend."
Spaceless,['Sci-Fi'],"A man wakes up inside a spacesuit tumbling helplessly through space, with a computer designed to keep him company until his air runs out, trying to solve the mystery of his death."
Transformers Prime,"['Animation', ' Action', ' Adventure']",In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons.
Executive Order,"['Drama', ' Sci-Fi']","In a dystopian near future in Brazil, an authoritarian government orders all citizens of African descent to move to Africa - creating chaos, protests, and an underground resistance movement that inspires the nation."
Trigun,"['Animation', ' Action', ' Adventure']",Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!
Batman: The Dark Knight Returns Part 2,"['Animation', ' Action', ' Crime']",The Batman has returned after a 10-year absence. The Gotham authorities want to arrest him. An old foe wants a reunion. The Feds want the Man of Tomorrow to put a stop to him.
Memories,"['Animation', ' Sci-Fi', ' Thriller']","An animated science fiction anthology from the visionary anime director, Katsuhiro Otomo."
RWBY,"['Animation', ' Action', ' Adventure']","Four Teenage girls form Team RWBY and train to fight crime and monsters known as the Grimm, while the world of Remnant remains on the brink of an all out war."
My Life as a Teenage Robot,"['Animation', ' Action', ' Adventure']",The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger.
Batman: Arkham Origins,"['Action', ' Adventure', ' Crime']","Years before the Arkham incidents, the neophyte Dark Knight finds himself the target of an open murder contract courtesy of Black Mask that draws eight of the world's deadliest assassins and a new criminal named The Joker."
Day of the Dead: Bloodline,"['Action', ' Drama', ' Horror']",A small group of military personnel and survivalists dwell in an underground bunker as they seek to find a cure in a world overrun by zombies.
Green Lantern: The Animated Series,"['Animation', ' Action', ' Adventure']",The further adventures of Hal Jordan and his comrades of the Green Lantern Corps.
Teenage Mutant Ninja Turtles: The Next Chapter,"['Animation', ' Action', ' Adventure']",CG-animated feature film based on the popular 1990s superheroes.
Batman: Death in the Family,"['Animation', ' Action', ' Crime']","An anthology series of 5 DC showcase: Death in the Family, Sgt. Rock, Adam Strange, The Phantom Stranger and Death."
Todd and the Book of Pure Evil,"['Comedy', ' Horror', ' Sci-Fi']","A stoner metalhead named Todd Smith, his crushee Jenny, his best friend Curtis, and the geeky Hannah, search their high school for a mayhem-causing Satanic spell book, while being opposed by Atticus, the evil guidance councillor."
Man from Atlantis,"['Adventure', ' Fantasy', ' Sci-Fi']","The adventures of an amphibious man, the last survivor of the legendary sunken city."
Prodigy,"['Drama', ' Sci-Fi', ' Thriller']","A psychologist engages a dangerous, young genius in a battle of wits -- unaware of the supernatural power the girl possesses, or that her life hangs in the balance."
Radius,"['Drama', ' Horror', ' Mystery']","A man wakes up with no memory of who he is, and finds that everyone who comes within a certain distance of him suddenly dies."
Mike Tyson Mysteries,"['Animation', ' Adventure', ' Comedy']","In this macabre comedy, retired boxing champion Mike Tyson, his brainy adopted Asian-American daughter, a friendly but wimpy gay gentleman ghost and a cursed perverse mean-spirited talking pigeon solve weird mysteries together."
Phantoms,"['Horror', ' Sci-Fi', ' Thriller']","In the peaceful town of Snowfield, Colorado something evil has wiped out the community. And now, its up to a group of people to stop it, or at least get out of Snowfield alive."
Cyborg 2: Glass Shadow,"['Action', ' Sci-Fi', ' Thriller']","2 companies battle for Cyborg domination. One's built a cyborg/Angelina Jolie so human, that they hope, she'll get into the competition's HQ and explode. But she escapes with her human martial arts instructor."
Minnal Murali,"['Action', ' Adventure', ' Comedy']","An unusual event creates a lightning which in turns gives superhuman abilies to an ambitious tailor ,whose responsibility is now to protect his home village from the evil plans of the antagonist."
Alien Nation,"['Action', ' Sci-Fi']","In 1988, Earth makes the first contact with an alien civilization. In 1991, these aliens, known as Newcomers, slowly begin to be integrated into human society after three years of quarantine."
New Amsterdam,"['Crime', ' Drama', ' Sci-Fi']",A New York homicide detective is cursed with immortality.
She-Ra: Princess of Power,"['Animation', ' Action', ' Adventure']","Princess Adora raises her magic sword and becomes She-Ra, the most powerful woman in the universe, to aid her friends in defeating the Evil Horde so their planet Etheria can be free."
My Stepmother Is an Alien,"['Comedy', ' Sci-Fi']",A creature from another planet tries to seduce a shy Earth physicist to gain control over his researches. The result of this important mission much exceeded her expectations.
DC Super Hero Girls,"['Animation', ' Action', ' Adventure']",Teenage versions of DC Comics superheroines both attend high school and fight crime to protect the citizens of Metropolis.
Mass Effect,"['Action', ' Adventure', ' Drama']","In a technologically advanced future, an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger."
The Mothership,"['Adventure', ' Drama', ' Family']","The sci-fi adventure follows Sara Morse (Berry) one year since her husband mysteriously vanished from their rural farm. When she discovers a strange, extraterrestrial object underneath ...                See full summary »"
A Trip to the Moon,"['Short', ' Action', ' Adventure']",A group of astronomers go on an expedition to the Moon.
Batman and Harley Quinn,"['Animation', ' Action', ' Adventure']","Batman and Nightwing are forced to team with the Joker's sometimes-girlfriend Harley Quinn to stop a global threat brought about by Poison Ivy and Jason Woodrue, the Floronic Man."
S1m0ne,"['Comedy', ' Drama', ' Sci-Fi']","A producer's film is endangered when his star walks off, so he decides to digitally create an actress to substitute for the star, becoming an overnight sensation that everyone thinks is a real person."
Distant,"['Comedy', ' Drama', ' Sci-Fi']","It follows an asteroid miner who, after crash-landing on an alien planet, must make his way across the harsh terrain, running out of oxygen, hunted by strange creatures, to the only other survivor."
Resident Evil 4,"['Action', ' Adventure', ' Fantasy']","Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult."
Mindscape,"['Drama', ' Mystery', ' Sci-Fi']","A man with the ability to enter people's memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma."
Island of Terror,"['Horror', ' Sci-Fi']",An isolated remote island community is threatened by an attack by tentacled silicates which liquefy and digest bone and tissue.
Invader ZIM,"['Animation', ' Action', ' Adventure']","An alien named Zim from the planet Irk is sent on a secret mission to conquer Earth, not realising that his leaders were just trying to get rid of him and hoped that he would die. Once there, Zim manages to disguise himself as a human child, but one boy named Dib sees through his disguise."
The Last Sharknado: It's About Time,"['Action', ' Adventure', ' Comedy']",Fin has to go back in time to rejoin his shark-battling friends to stop the first Sharknado and save humanity.
Hard to Be a God,"['Drama', ' Sci-Fi']","In the distant future, a space traveler from Earth breaks a special law and interferes with the history of another, Medieval-like, planet."
One Step Beyond,"['Drama', ' Fantasy', ' Horror']","""One Step Beyond"" was an anthology series which focused on real stories involving the supernatural, including ghosts, disappearances, monsters etc, with host John Newland running from 1959 until 1961."
Offseason,"['Drama', ' Fantasy', ' Horror']","After receiving a mysterious letter, a woman travels to a desolate island town and soon becomes trapped in a nightmare."
The Six Billion Dollar Man,"['Action', ' Sci-Fi']","Plot unknown. Feature film based on the popular '70s TV series ""The Six Million Dollar Man""."
Halo 2,"['Action', ' Adventure', ' Sci-Fi']","As the alien Covenant invade Earth, the Master Chief must defend humanity's homeworld whilst discovering more about the rings called ""Halo."""
Infinity Chamber,"['Sci-Fi', ' Thriller']",A man trapped in an automated prison must outsmart a computer in order to escape.
Mortal Kombat: Legacy,"['Short', ' Action', ' Adventure']","The first season of Mortal Kombat: Legacy is a prequel to the original game, explaining the background stories of several characters from the series and demonstrating their reasons for ...                See full summary »"
Stargate: Continuum,"['Action', ' Adventure', ' Drama']",Ba'al travels back in time and prevents the Stargate program from being started. SG-1 must somehow restore history.
Transit,"['Drama', ' Sci-Fi']",A man attempting to escape occupied France falls in love with the wife of a dead author whose identity he has assumed.
Cyberchase,"['Animation', ' Short', ' Adventure']","Three kids, Jackie, Matt, Inez, and their bird friend Digit, must save cyberspace from the evil Hacker with the use of strategy and math skills."
Big Hero 6: The Series,"['Animation', ' Action', ' Adventure']","Teen genius Hiro Hamada, Baymax the robot, and their friends defend the city of San Fransokyo as superheroes."
Star Wars: Detours,"['Animation', ' Adventure', ' Comedy']",A comedic look at some of our favorite characters' more mundane moments during the reign of the Empire.
Memories of the Alhambra,"['Drama', ' Romance', ' Sci-Fi']","After suffering a setback following a friend's betrayal Yoo Jin Woo travels to Spain on a business. There, he stays at an old hostel owned by a former classical guitarist Jung Hee Joo. The two get entangled in a mysterious incident."
Coma,"['Action', ' Adventure', ' Fantasy']","After a mysterious accident, a young architect comes back to his senses in a very odd world. He must find out the exact laws and regulations of it while he fights for his life and keeps looking for an exit to the real world."
Proxima,"['Action', ' Adventure', ' Drama']",An astronaut prepares for a one-year mission aboard the International Space Station.
G.O.R.A.,"['Adventure', ' Comedy', ' Sci-Fi']",A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
Suicide Squad: Hell to Pay,"['Animation', ' Action', ' Fantasy']",Task Force X targets a powerful mystical object that they will risk their lives to steal.
Kiss Me Deadly,"['Crime', ' Film-Noir', ' Mystery']","A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit""."
666 Park Avenue,"['Drama', ' Fantasy', ' Horror']","At the 203 apartments Drake, NYC, residents are granted one wish - any wish. But beware of the price. There's something supernatural and evil about The Drake that only the owners, Gavin and Olivia. know about/control."
Deadman Wonderland,"['Animation', ' Action', ' Drama']","After being falsely convicted for the murder of his entire class, a young man must learn to survive in a mysterious prison with a perverted take on incarceration while also looking to clear his name."
MultiVersus,"['Action', ' Fantasy', ' Sci-Fi']",A crossover fighting game featuring many different Warner Bros properties.
Nick Fury: Agent of Shield,"['Action', ' Sci-Fi']",Agent Nick Fury is asked to fight the menace of Hydra after exiling himself in the Yukon since the end of the Cold War.
The Butterfly Effect 2,"['Drama', ' Sci-Fi', ' Thriller']",Nick Larson discovers a supernatural way to alter his life and travel back in time to key moments in his life by looking at photographs.
Powers,"['Action', ' Crime', ' Drama']","Set in a world where humans and super heroes co-exist, a homicide detective, who had his own powers taken from him, investigates crimes involving superhumans along with his partner."
The Innocents,"['Drama', ' Horror', ' Mystery']","When teenagers Harry and June run away from their repressive families to be together, they're derailed by an extraordinary discovery - June's ability to shape-shift. A scientist tries to capture her and discover the key to her power."
Extraterrestrial,"['Action', ' Horror', ' Mystery']",A group of friends on a weekend trip to a cabin in the woods find themselves terrorized by alien visitors.
Power Rangers Samurai,"['Action', ' Adventure', ' Comedy']",Five teenagers inherit samurai powers from ancient Japan to protect the world from an army of monsters.
The Girl Who Leapt Through Time,"['Animation', ' Adventure', ' Comedy']","A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
Kingsglaive: Final Fantasy XV,"['Animation', ' Action', ' Adventure']","King Regis, who oversees the land of Lucis, commands his army of soldiers to protect the kingdom from the Niflheim empire's plans to steal the sacred crystal which gives Lucis its magic and power."
Space Truckers,"['Adventure', ' Comedy', ' Sci-Fi']","A space trucker and his cute fiancee are on their way from a space station to Earth with an unknown cargo. When space pirates hijack them, 5000 disintegrator robots are found in the cargo."
Body Bags,"['Comedy', ' Horror', ' Sci-Fi']","Three short stories in the horror genre: the first about a serial killer, the second about a hair transplant gone wrong, and the third about a baseball player."
The Machine,"['Action', ' Drama', ' Sci-Fi']","In efforts to construct perfect android killing machines in a war against China, UK scientists exceed their goal and create a sentient robot."
Dark Light,"['Action', ' Horror', ' Mystery']",A woman returns to her family home and discovers it to be inhabited by monsters.
Don't Look Deeper,"['Drama', ' Sci-Fi']",A high school student in central California sets off an unexpected series of events when she begins to doubt if she's human.
Link Click,"['Animation', ' Action', ' Fantasy']","Using superpowers to enter their clientele's photos one by one, Cheng Xiaoshi and Lu Guang take their work seriously at ""Time Photo Studio,"" a small photography shop set in the backdrop of a modern metropolis."
Batman Ninja,"['Animation', ' Action', ' Sci-Fi']","Batman, along with a number of his allies and adversaries, finds himself transplanted from modern Gotham City to feudal Japan."
Bleeding Steel,"['Action', ' Sci-Fi', ' Thriller']",A Special Forces Agent is assigned to protect a scientist and his creation from a sinister gang.
Hobgoblins,"['Comedy', ' Horror', ' Sci-Fi']",A young security guard must track down diminutive aliens who kill people even as they make their fantasies come true.
"Tomorrow, When the War Began","['Action', ' Adventure', ' Drama']","When their country is invaded and their families are taken, eight unlikely teenagers band together to fight."
The Banana Splits Movie,"['Action', ' Comedy', ' Horror']","A family attends a live taping of The Banana Splits television series, but are forced to survive as soon as the characters go haywire and start a killing spree around the studio."
Free Birds,"['Animation', ' Adventure', ' Comedy']","Two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history, and get Turkeys off the Thanksgiving menu for good."
The Colony,"['Action', ' Sci-Fi', ' Thriller']","Forced underground by the next ice age, a struggling outpost of survivors must fight to preserve humanity against a threat even more savage than nature."
Damnation Alley,['Sci-Fi'],"In a post-apocalyptic world, a group of survivors travel and find other settlements in huge custom designed all terrain vehicles."
Fateful Findings,"['Drama', ' Fantasy', ' Mystery']","A computer-scientist/novelist reunites with his childhood friend, hacks into government databases, and faces the dire and fateful consequences of the mystical actions he obtained as a child."
Gotham City Sirens,"['Action', ' Adventure', ' Comedy']",Following three of Gotham City's most notorious female criminals on one of their most dangerous missions yet.
Intelligence,"['Action', ' Drama', ' Sci-Fi']","A high-tech intelligence operative, enhanced with a super-computer microchip in his brain, aids an elite government cyber-security agency in special missions."
The Animatrix,"['Animation', ' Action', ' Sci-Fi']",A collection of nine short films featuring stories related to The Matrix (1999).
Lilo & Stitch: The Series,"['Animation', ' Action', ' Adventure']",The rambunctious human and alien duo must hunt down Dr. Jumba Jookiba's 625 other experimental creatures infesting Hawaii.
Igor,"['Animation', ' Comedy', ' Family']","Animated fable about a cliché hunchbacked evil scientist's assistant who aspires to become a scientist himself, much to the displeasure of the rest of the evil science community."
Assassin's Creed IV: Black Flag,"['Action', ' Adventure', ' History']","A video game where you play as sailor, privateer and assassin Edward Kenway exploring on and around the islands in the Caribbean Sea during the early 17th century."
Ben 10: Race Against Time,"['Action', ' Adventure', ' Family']","Ben Tennyson returns home from summer vacation only to discover that a rapidly aging alien criminal named, Eon, is planning to use an ancient alien artifact to destroy Bellwood."
The Crossing,"['Adventure', ' Drama', ' Sci-Fi']",Refugees from a war-torn country 180 years in the future start showing up in the present to seek asylum in an American town.
Muppets from Space,"['Adventure', ' Comedy', ' Family']","Gonzo is contacted by his alien family through his breakfast cereal. But when the men in black kidnap him, it's up to Kermit and the gang to rescue Gonzo and help him reunite with his long-lost family."
Forbidden Science,"['Drama', ' Fantasy', ' Mystery']","Forbidden Science is a unique blend of noir science fiction and erotic programming combining intelligent scripts, attractive characters with great production value. Set in the near future, ...                See full summary »"
Space: Above and Beyond,"['Action', ' Adventure', ' Drama']","The Earth is embroiled in a desperate war against alien invaders, and this series focuses on one squadron of Marine pilots involved in it."
LX 2048,"['Drama', ' Sci-Fi', ' Thriller']",A fatally ill man tries to secure the future of his family in a world where the toxicity of the sun forces people to stay inside during the daytime.
Hardware,"['Sci-Fi', ' Thriller']","The head of a cyborg reactivates, rebuilds itself, and goes on a violent rampage in a space marine's girlfriend's apartment."
Think Like a Dog,"['Comedy', ' Drama', ' Family']",A 12-year-old tech prodigy's science experiment goes awry and he forges a telepathic connection with his dog. The duo join forces and use their unique perspectives on life to comically overcome complications of family and school.
I Think We're Alone Now,"['Drama', ' Mystery', ' Sci-Fi']",The apocalypse proves a blessing in disguise for one lucky recluse -- until a second survivor arrives with the threat of companionship.
Universal Soldier: Day of Reckoning,"['Action', ' Horror', ' Mystery']","John looks to take down Luc Deveraux after a home invasion claims his wife and daughter. The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit."
Évolution,"['Drama', ' Horror', ' Mystery']","The only residents of young Nicholas' sea-side town are women and boys. When he sees a corpse in the ocean one day, he begins to question his existence and surroundings. Why must he, and all the other boys, be hospitalised?"
Trese,"['Animation', ' Action', ' Adventure']","Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings."
Wolverine and the X-Men,"['Animation', ' Action', ' Adventure']","After an explosion at the school, the X-Men went their separate ways. But they must unite once again under the leadership of Wolverine to prevent an inevitable war while also dealing with present problems."
Mysterious Island,"['Adventure', ' Family', ' Fantasy']",During the Civil War a group of Union soldiers and two Confederates escape the stockade using a hot air balloon and end up on a strange Pacific island.
